date,team_A,team_B,goals_A,goals_B,tournament,city,country,neutral,elo_A,elo_B,elo_diff,label,A_wins_last5,A_draws_last5,A_loss_last5,A_gf_avg_last5,A_ga_avg_last5,A_gd_avg_last5,B_wins_last5,B_draws_last5,B_loss_last5,B_gf_avg_last5,B_ga_avg_last5,B_gd_avg_last5,match_importance
2006-04-04,Pakistan,Tajikistan,0,2,AFC Challenge Cup,Dhaka,Bangladesh,True,877.0,1254.0,-377.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-05,Bangladesh,Palestine,1,1,AFC Challenge Cup,Dhaka,Bangladesh,False,1032.0,1254.0,-222.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-05,Philippines,Afghanistan,1,1,AFC Challenge Cup,Chittagong,Bangladesh,True,960.0,837.0,123.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-06,Tajikistan,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,True,1254.0,1140.0,114.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-06,Cambodia,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,True,816.0,602.0,214.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-06,Bhutan,Brunei,0,0,AFC Challenge Cup,Chittagong,Bangladesh,True,572.0,601.0,-29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-09,Palestine,Kyrgyzstan,0,1,AFC Challenge Cup,Dhaka,Bangladesh,True,1254.0,1140.0,114.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-10,Bangladesh,Tajikistan,1,6,AFC Challenge Cup,Dhaka,Bangladesh,False,1032.0,1254.0,-222.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-12,Azerbaijan,Turkey,1,1,Friendly,Baku,Azerbaijan,False,1365.0,1845.0,-480.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-13,Tajikistan,Kyrgyzstan,2,0,AFC Challenge Cup,Dhaka,Bangladesh,True,1254.0,1140.0,114.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-14,Lesotho,Eswatini,5,0,Friendly,Maseru,Lesotho,False,1121.0,1255.0,-134.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-16,Lesotho,Eswatini,2,2,Friendly,Maseru,Lesotho,False,1121.0,1255.0,-134.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-04-29,Angola,Mauritius,5,1,COSAFA Cup,Maseru,Lesotho,True,1549.0,1282.0,267.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-29,Lesotho,Mozambique,0,0,COSAFA Cup,Maseru,Lesotho,False,1121.0,1277.0,-156.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-30,Mauritius,Mozambique,0,0,COSAFA Cup,Maseru,Lesotho,True,1282.0,1277.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-04-30,Lesotho,Angola,1,3,COSAFA Cup,Maseru,Lesotho,False,1121.0,1549.0,-428.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-02,Poland,Lithuania,0,1,Friendly,Bełchatów,Poland,False,1837.0,1477.0,360.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-05,Mexico,Venezuela,1,0,Friendly,Pasadena,United States,True,1841.0,1605.0,236.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-09,Japan,Bulgaria,1,2,Kirin Cup,Osaka,Japan,False,1789.0,1723.0,66.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-11,Bulgaria,Scotland,1,5,Kirin Cup,Kobe,Japan,True,1723.0,1667.0,56.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-13,Japan,Scotland,0,0,Kirin Cup,Saitama,Japan,False,1789.0,1667.0,122.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-14,Botswana,Zambia,0,0,Friendly,Gaborone,Botswana,False,1303.0,1552.0,-249.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-20,Slovakia,Belgium,1,1,Friendly,Trnava,Slovakia,False,1700.0,1699.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-20,Botswana,Madagascar,2,0,COSAFA Cup,Gaborone,Botswana,False,1303.0,1224.0,79.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-21,Madagascar,Eswatini,0,2,COSAFA Cup,Gaborone,Botswana,True,1204.0,1255.0,-51.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2006-05-23,Romania,Uruguay,0,2,Friendly,Los Angeles,United States,True,1860.0,1816.0,44.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-23,Austria,Croatia,1,4,Friendly,Vienna,Austria,False,1645.0,1847.0,-202.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-24,Belgium,Turkey,3,3,Friendly,Genk,Belgium,False,1699.0,1845.0,-146.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-24,Colombia,Ecuador,1,1,Friendly,East Rutherford,United States,True,1760.0,1719.0,41.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-24,Norway,Paraguay,2,2,Friendly,Oslo,Norway,False,1738.0,1767.0,-29.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-25,Australia,Greece,1,0,Friendly,Melbourne,Australia,False,1797.0,1812.0,-15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-25,Sweden,Finland,0,0,Friendly,Gothenburg,Sweden,False,1874.0,1628.0,246.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-26,Turkey,Ghana,1,1,Friendly,Bochum,Germany,True,1845.0,1566.0,279.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Denmark,Paraguay,1,1,Friendly,Aarhus,Denmark,False,1900.0,1767.0,133.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,France,Mexico,1,0,Friendly,Saint-Denis,France,False,1955.0,1841.0,114.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Germany,Luxembourg,7,0,Friendly,Freiburg,Germany,False,1881.0,980.0,901.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Netherlands,Cameroon,1,0,Friendly,Rotterdam,Netherlands,False,1995.0,1784.0,211.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Romania,Colombia,0,0,Friendly,Chicago,United States,True,1860.0,1760.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Serbia,Uruguay,1,1,Friendly,Belgrade,Serbia and Montenegro,False,1752.0,1816.0,-64.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-27,Spain,Russia,0,0,Friendly,Albacete,Spain,False,1961.0,1751.0,210.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-28,Turkey,Estonia,1,1,Friendly,Hamburg,Germany,True,1845.0,1421.0,424.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-28,Morocco,Mali,0,1,Friendly,Colombes,France,True,1638.0,1544.0,94.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-28,Croatia,Iran,2,2,Friendly,Osijek,Croatia,False,1847.0,1804.0,43.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-29,Jamaica,Ghana,1,4,Friendly,Leicester,England,True,1611.0,1566.0,45.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006-05-30,Libya,Uruguay,1,2,Friendly,Radès,Tunisia,True,1447.0,1816.0,-369.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
